CHAMP;SEXE;ANNEE_1962_2019;AGE_ATTEINT_R;DECES
FE;E;2001;D19;604
FE;E;2001;D20;633
FE;E;2001;D21;578
FE;E;2001;D22;547
FE;E;2001;D23;531
FE;E;2001;D24;536
FE;E;2001;D25;547
FE;E;2001;D26;549
FE;E;2001;D27;608
FE;E;2001;D28;643
FE;E;2001;D29;675
FE;E;2001;D30;713
FE;E;2001;D31;735
FE;E;2001;D32;739
FE;E;2001;D33;791
FE;E;2001;D34;907
FE;E;2001;D35;983
FE;E;2001;D36;1084
FE;E;2001;D37;1172
FE;E;2001;D38;1316
FE;E;2001;D39;1407
FE;E;2001;D40;1519
FE;E;2001;D41;1660
FE;E;2001;D42;1816
FE;E;2001;D43;1957
FE;E;2001;D44;2125
FE;E;2001;D45;2474
FE;E;2001;D46;2650
FE;E;2001;D47;2861
FE;E;2001;D48;3067
FE;E;2001;D49;3274
FE;E;2001;D50;3395
FE;E;2001;D51;3717
FE;E;2001;D52;3994
FE;E;2001;D53;4244
FE;E;2001;D54;4382
FE;E;2001;D55;4597
FE;E;2001;D56;3670
FE;E;2001;D57;4019
FE;E;2001;D58;4015
FE;E;2001;D59;4018
FE;E;2001;D60;4015
FE;E;2001;D61;4397
FE;E;2001;D62;5050
FE;E;2001;D63;5279
FE;E;2001;D64;5696
FE;E;2001;D65;6240
FE;E;2001;D66;6775
FE;E;2001;D67;7356
FE;E;2001;D68;7831
FE;E;2001;D69;8838
FE;E;2001;D70;9264
FE;E;2001;D71;10244
FE;E;2001;D72;10798
FE;E;2001;D73;11456
FE;E;2001;D74;11975
FE;E;2001;D75;13106
FE;E;2001;D76;13806
FE;E;2001;D77;14406
FE;E;2001;D78;15632
FE;E;2001;D79;16547
FE;E;2001;D80;18484
FE;E;2001;D81;20077
FE;E;2001;D82;12807
FE;E;2001;D83;11852
FE;E;2001;D84;10920
FE;E;2001;D85;10583
FE;E;2001;D86;13318
FE;E;2001;D87;20220
FE;E;2001;D88;19955
FE;E;2001;D89;19498
FE;E;2001;D90;17206
FE;E;2001;D91;17043
FE;E;2001;D92;15155
FE;E;2001;D93;13418
FE;E;2001;D94;10918
FE;E;2001;D95;8869
FE;E;2001;D96;7239
FE;E;2001;D97;5526
FE;E;2001;D98;4187
FE;E;2001;D99;3032
FE;E;2001;D100;5457
FE;E;2002;DEC;545241
FE;E;2002;D0;2843
FE;E;2002;D1;663
FE;E;2002;D2;237
FE;E;2002;D3;177
FE;E;2002;D4;110
FE;E;2002;D5;114
FE;E;2002;D6;98
FE;E;2002;D7;98
FE;E;2002;D8;81
FE;E;2002;D9;89
FE;E;2002;D10;100
FE;E;2002;D11;93
FE;E;2002;D12;98
FE;E;2002;D13;111
FE;E;2002;D14;151
FE;E;2002;D15;173
FE;E;2002;D16;229
FE;E;2002;D17;298
FE;E;2002;D18;410
FE;E;2002;D19;539
FE;E;2002;D20;520
FE;E;2002;D21;592
FE;E;2002;D22;575
FE;E;2002;D23;539
FE;E;2002;D24;521
FE;E;2002;D25;526
FE;E;2002;D26;522
FE;E;2002;D27;564
FE;E;2002;D28;617
FE;E;2002;D29;643
FE;E;2002;D30;723
FE;E;2002;D31;716
FE;E;2002;D32;740
FE;E;2002;D33;760
FE;E;2002;D34;841
FE;E;2002;D35;897
FE;E;2002;D36;1019
FE;E;2002;D37;1092
FE;E;2002;D38;1296
FE;E;2002;D39;1323
FE;E;2002;D40;1452
FE;E;2002;D41;1611
FE;E;2002;D42;1789
FE;E;2002;D43;2029
FE;E;2002;D44;2107
FE;E;2002;D45;2325
FE;E;2002;D46;2518
FE;E;2002;D47;2879
FE;E;2002;D48;2958
FE;E;2002;D49;3180
FE;E;2002;D50;3472
FE;E;2002;D51;3685
FE;E;2002;D52;4006
FE;E;2002;D53;4328
FE;E;2002;D54;4499
FE;E;2002;D55;4849
FE;E;2002;D56;4880
FE;E;2002;D57;4092
FE;E;2002;D58;4146
FE;E;2002;D59;4322
FE;E;2002;D60;4306
FE;E;2002;D61;4098
FE;E;2002;D62;4575
FE;E;2002;D63;5206
FE;E;2002;D64;5636
FE;E;2002;D65;5942
FE;E;2002;D66;6480
FE;E;2002;D67;7157
FE;E;2002;D68;7886
FE;E;2002;D69;8306
FE;E;2002;D70;9263
FE;E;2002;D71;9915
FE;E;2002;D72;10879
FE;E;2002;D73;11147
FE;E;2002;D74;12027
FE;E;2002;D75;12566
FE;E;2002;D76;13648
FE;E;2002;D77;14773
FE;E;2002;D78;15536
FE;E;2002;D79;16401
FE;E;2002;D80;17758
FE;E;2002;D81;19481
FE;E;2002;D82;21040
FE;E;2002;D83;13415
FE;E;2002;D84;12447
FE;E;2002;D85;11277
FE;E;2002;D86;10634
FE;E;2002;D87;13624
FE;E;2002;D88;19962
FE;E;2002;D89;19771
FE;E;2002;D90;19061
FE;E;2002;D91;16598
FE;E;2002;D92;15899
FE;E;2002;D93;13772
FE;E;2002;D94;11762
FE;E;2002;D95;9272
FE;E;2002;D96;7582
FE;E;2002;D97;5867
FE;E;2002;D98;4258
FE;E;2002;D99;3148
FE;E;2002;D100;6001
FE;E;2003;DEC;562467
FE;E;2003;D0;2863
FE;E;2003;D1;612
FE;E;2003;D2;250
FE;E;2003;D3;175
FE;E;2003;D4;123
FE;E;2003;D5;108
FE;E;2003;D6;95
FE;E;2003;D7;89
FE;E;2003;D8;81
FE;E;2003;D9;70
FE;E;2003;D10;91
FE;E;2003;D11;78
FE;E;2003;D12;88
FE;E;2003;D13;108
FE;E;2003;D14;149
FE;E;2003;D15;164
FE;E;2003;D16;229
FE;E;2003;D17;317
FE;E;2003;D18;373
FE;E;2003;D19;435
FE;E;2003;D20;487
FE;E;2003;D21;520
FE;E;2003;D22;526
FE;E;2003;D23;567
FE;E;2003;D24;468
FE;E;2003;D25;436
FE;E;2003;D26;491
FE;E;2003;D27;515
FE;E;2003;D28;549
FE;E;2003;D29;527
FE;E;2003;D30;656
FE;E;2003;D31;712
FE;E;2003;D32;754
FE;E;2003;D33;800
FE;E;2003;D34;823
FE;E;2003;D35;916
FE;E;2003;D36;993
FE;E;2003;D37;1058
FE;E;2003;D38;1200
FE;E;2003;D39;1370
FE;E;2003;D40;1477
FE;E;2003;D41;1542
FE;E;2003;D42;1678
FE;E;2003;D43;1863
FE;E;2003;D44;2118
FE;E;2003;D45;2244
FE;E;2003;D46;2542
FE;E;2003;D47;2728
FE;E;2003;D48;3047
FE;E;2003;D49;3243
FE;E;2003;D50;3373
FE;E;2003;D51;3835
FE;E;2003;D52;3931
FE;E;2003;D53;4391
FE;E;2003;D54;4540
FE;E;2003;D55;4774
FE;E;2003;D56;5174
FE;E;2003;D57;5273
FE;E;2003;D58;4167
FE;E;2003;D59;4471
FE;E;2003;D60;4573
FE;E;2003;D61;4483
FE;E;2003;D62;4423
FE;E;2003;D63;4937
FE;E;2003;D64;5601
FE;E;2003;D65;5902
FE;E;2003;D66;6406
FE;E;2003;D67;6839
FE;E;2003;D68;7359
FE;E;2003;D69;8426
FE;E;2003;D70;8712
FE;E;2003;D71;9910
FE;E;2003;D72;10730
FE;E;2003;D73;11513
FE;E;2003;D74;11979
FE;E;2003;D75;12967
FE;E;2003;D76;14051
FE;E;2003;D77;14857
FE;E;2003;D78;15833
FE;E;2003;D79;16703
FE;E;2003;D80;17925
FE;E;2003;D81;19199
FE;E;2003;D82;21163
FE;E;2003;D83;22846
FE;E;2003;D84;14211
FE;E;2003;D85;13198
FE;E;2003;D86;11688
FE;E;2003;D87;11271
